"Empfänger";"Politikbereich";"Art";"Jahr";"Anschrift";"Geber";"Zuwendungsbereich";"Betrag"
"Sozialwerk Berlin e. V.";" ";"Projektförderung";"2009";"Ladenbergstraße 7, 14195 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung des Modell-Projektes ""Ältere Menschen ermitteln selbst die Situation in Alten- und Pflegeheimen"" für ein Jahr";"80000"
"Stiftung Preußische Schlösser und Gärten Berlin-Brandenburg";" ";"Projektförderung";"2009";"Postfach 60 14 62, 14414 Potsdam";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung von Kosten im Zusammenhang mit der Restaurierung des Schlosses Schönhausen in Berlin-Pankow als 4. und letzte Rate";"900000"
"Berliner Ensemble GmbH";" ";"Projektförderung";"2009";"Bertolt-Brecht-Platz 1, 10117 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung zweier für das Kalenderjahr 2010 geplanter Brecht-Inszenierungen ""Der Kaukasische Kreidekreis"" und ""Im Dickicht der Städte""";"769000"
"Deutsches Theater Berlin";" ";"Projektförderung";"2009";"Schumannstraße 13 A, 10117 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der Berliner Autorentheatertage 2010";"500000"
"Märchenland e. V.";" ";"Institutionelle Förderung";"2009";"Spreeufer 5, 10178 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur institutionellen Förderung des Vereins im Kalenderjahr 2010";"334000"
"Stiftung Deutsches Technikmuseum Berlin";" ";"Projektförderung";"2009";"Trebbiner Straße 9, 10963 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der Modernisierung und Überarbeitung der Ausstellung und der Räume des Science Center Spectrum als 1. Rate";"200000"
"Fete de la Musique";" ";"Projektförderung";"2009";"Brunnenstraße 144, 10115 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der Veranstaltungen ""Fete de la Musique - Fest der Musik - European Music Day"" jeweils am 21. Juni in den Jahren 2010 und 2011 in Berlin";"182000"
"Bezirksamt Charlottenburg-Wilmersdorf von Berlin Abteilung Finanzen und Kultur";" ";"Projektförderung";"2009";"Hohenzollerndamm 174 - 177, 10713 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Finanzierung des Umbaus und der Sanierung der Villa Oppenheim in der Schloßstraße 55 in Berlin-Charlottenburg zwecks Nutzung für die Präsentation der Kunstsammlung Charlottenburg und für die Kunst der Gegenwart als 1. Rate";"130000"
"Public Art Lab e. V.";" ";"Projektförderung";"2009";"Brunnenstraße 41, 10115 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung des ""Medien-fassaden Festival Europa 2010""";"98500"
"Bundesverband Theater in Schulen e. V. c/o Schultheater-Studio Frankfurt";" ";"Projektförderung";"2009";"Hammarskjöldring 17 a, 60439 Frankfurt";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung des 4. Deutschen Kinder-Theater-Festes ""Spiel mit!"" vom 11.-14.11.2010 in Berlin";"38000"
"Theater Tiefflieger";" ";"Projektförderung";"2009";"Bleibtreustraße 8-9, 10623 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung der mobilen Theaterarbeit";"30000"
"Bund Deutscher Amateurtheater e. V.";" ";"Projektförderung";"2009";"Steinheimer Strasse 7/1, 89518 Heidenheim";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung des Projektes ""Deutscher Amateurtheaterpreis und Festival - Impuls 2010"" in Berlin";"17000"
"Welser 25 - Freundeskreis des Jüdischen und Israelischen Films e. V.";" ";"Projektförderung";"2009";"Sybelstraße 9, 10629 Berlin";"Stiftung Deutsche Klassenlotterie Berlin";"Zuschuss zur Mitfinanzierung des 16. Jewish Film Festival Berlin vom 25.04. - 09.05.2010 im Kino Arsenal in Berlin sowie im Filmmuseum Potsdam";"55000"
"Kirchenkreis Reinickendorf, Der Superintendent";"Abt. Bürgerdienste und Ordnungsangelegenheiten";"Projektförderung";"2009";"Alt-Wittenau 70, 13437 Berlin";"Bezirksamt Reinickendorf";"Betrieb zweier Gute-Nacht-Cafes als niederschwelliges Übernachtungsangebot an obdachlose Menschen in Berlin-Hermsdorf, Jahnstraße, Kauf einer Küche für die Einrichtung";"11450"
"Deutscher Familienverband LV Berlin e. V.";"Abt. Bürgerdienste und Ordnungsangelegenheiten";"Projektförderung";"2009";"Genter Str. 53, 13353 Berlin";"Bezirksamt Reinickendorf";"Förderung der Schuldner- und Insolvenzberatungsstelle in Reinickendorf, Schuldner- und Insolvenzberatung: Wirtschaftssozialarbeit, Finanz- und Budgetberatung, Ökonomische Kriseninter-ventionsmöglichkeiten, Hilfe bei der Tilgung der Ver-bindlichkeiten (Sch";"431953"
"Freunde des Buchhändlerkellers e.V.";"Abt. Finanzen und Kultur";"Projektförderung";"2009";"Carmerstraße 1, 10623 Berlin";"Bezirksamt Charlottenburg-Wilmersdorf";"Ausstellung/ Buchpräsentation";"800"
"Kiezbündnis Klausenerplatz e.V.";"Abt. Finanzen und Kultur";"Projektförderung";"2009";"Seelingstraße 14, 14059 Berlin";"Bezirksamt Charlottenburg-Wilmersdorf";"Kunst im Kiez 4.9. Bis 3.10.2009";"750"
"Sigmaringer 1art";"Abt. Finanzen und Kultur";"Projektförderung";"2009";"Barstraße 25, 10713 Berlin";"Bezirksamt Charlottenburg-Wilmersdorf";"Katalogförderung";"500"
"Literaturbrücke e.V.";"Abt. Finanzen und Kultur";"Projektförderung";"2009";"Knaackstraße 97, 10435 Berlin";"Bezirksamt Charlottenburg-Wilmersdorf";"Veranstaltung POET`S CORNER";"500"
"Frauen Museum Berlin e.V.";"Abt. Finanzen und Kultur";"Projektförderung";"2009";"Goethestraße 37, 10625 Berlin";"Bezirksamt Charlottenburg-Wilmersdorf";"Ausstellung";"149"
"Verein Von Kindern für Kinder e.V.";"Abt. Finanzen, Personal und Sport";"Projektförderung";"2009";"Teichstraße 65, 13407 Berlin";"Bezirksamt Reinickendorf";"Sachkosten für das Projekt ""Kostenloses Mittagessen für bedürftige Grundschulkinder insb. aus Migrantenfamilien in der Rollbergsiedlung""";"201"
"Verein Von Kindern für Kinder e.V.";"Abt. Finanzen, Personal und Sport";"Projektförderung";"2009";"Teichstraße 65, 13407 Berlin";"Bezirksamt Reinickendorf";"Kostenloses Mittagessen für bedürftige Grundschulkinder insb. aus Migrantenfamilien in der Rollbergsiedlung";"3400"
"Stiftung Hänsel und Gretel";"Abt. Finanzen, Personal und Sport";"Projektförderung";"2009";"Ahaweg 2, 76131 Karlsruhe";"Bezirksamt Reinickendorf";"Sachkosten für das Projekt ""Notinsel-Rally im Bezirk Reinickendorf""";"350"
"Malteser International Abtlg. Asien";"Abt. Finanzen, Personal und Sport";"Projektförderung";"2009";"Kalker Hauptstraße 22-24, 51103 Köln,";"Bezirksamt Reinickendorf";"Sachkosten für das Projekt ""Sicherstellung der Trinkwasserversorgung und Förderung der sicheren Hygienepraxis im Süden und Osten Sri Lankas""";"1936"
"Rettungsring e.V.";"Abt. Gesundheit und Soziales";"Projektförderung";"2009";"Backnanger Straße 9,; 13467 Berlin";"Bezirksamt Reinickendorf";"Personal- und Sachkosten der Kontakt- und Beratungsstelle";"182435"
"Rettungsring e.V.";"Abt. Gesundheit und Soziales";"Projektförderung";"2009";"Backnanger Straße 9,; 13467 Berlin";"Bezirksamt Reinickendorf";"Personal- und Sachkosten der Alkoholberatungsstelle des Rettungsring e.V. und der Stiftung SPI, Drogenberatung Nord lt. Kooperationvertrag vom 11.05.2009";"29654"
"Albatros e.V.";"Abt. Gesundheit und Soziales";"Projektförderung";"2009";"Berliner Straße 14, ; 13507 Berlin";"Bezirksamt Reinickendorf";"Personal- und Sachkosten für die Textilwerkstatt (Zuverdienstgemeinschaft)";"144000"
"Albatros e.V.";"Abt. Gesundheit und Soziales";"Projektförderung";"2009";"Berliner Straße 14,; 13507 Berlin";"Bezirksamt Reinickendorf";"Personal- und Sachkosten für die Kontakt- und Beratungsstelle und Tageszentren ";"295561"
"Mieterberatung Prenzlauer Berg Gesellschaft für Sozialplanung und Mieterberatung mbH";"Abt. Gesundheit und Soziales";"Projektförderung";"2009";"Lettestr. 5, 10437 Berlin";"Bezirksamt Reinickendorf";"Lokale Strategie 2009 zur Aktivierung bürgerschaftlichen Engagements (Quartierfonds 1)";"10000"
"Mieterberatung Prenzlauer Berg Gesellschaft für Sozialplanung und Mieterberatung mbH";"Abt. Gesundheit und Soziales";"Projektförderung";"2009";"Lettestr. 5, 10437 Berlin";"Bezirksamt Reinickendorf";"Lokale Strategie 2009 zur Aktivierung bürgerschaftlichen Engagements (Quartierfonds 2)";"30000"
"AWO, Marie-Schlei-Heim";"Abt. Gesundheit und Soziales";"Zuschuss";"2009";"Eichborndamm 124, 13403 Berlin";"Bezirksamt Reinickendorf";"Weihnachtsfeier";"300"
"Malteserhof Reinickendorf";"Abt. Gesundheit und Soziales";"Zuschuss";"2009";"Oranienburger Str. 26/27, 13437 Berlin";"Bezirksamt Reinickendorf";"Weihnachtsfeier";"300"
"SASA REHA Seniorenpflegeheim ""Am Kienhorstpark""";"Abt. Gesundheit und Soziales";"Zuschuss";"2009";"Ollenhauerstr. 26, 13403 Berlin";"Bezirksamt Reinickendorf";"Weihnachtsfeier";"300"
"Kinderleben - Verein zur Förderung der Klinik für Krebskranke Kinder e.V.";"Abt. Gesundheit und Soziales";"Zuschuss";"2009";"Kunz-Buntschuh-Str. 11 14193 Berlin";"Bezirksamt Reinickendorf";"Unterstützung krebskranker Kinder";"2000"
"Ambulantes Kinderhospiz "" Berliner Herz"" / Humanistischer Verband Deutschlands, Landesverband Berlin";"Abt. Gesundheit und Soziales";"Zuschuss";"2009";"Wallstr. 61-65 10179 Berlin";"Bezirksamt Reinickendorf";"Unterstützung krebskranker Kinder";"2000"
"Hilfe für krebskranke Tschernobylkinder e.V.";"Abt. Gesundheit und Soziales";"Zuschuss";"2009";"Varziner Str. 13 12161 Berlin";"Bezirksamt Reinickendorf";"Unterstützung krebskranker Kinder";"2000"
"Albatros e. V.";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Berliner Straße 14; 13507 Berlin";"Bezirksamt Reinickendorf";"Interkultureller Mädchentreff";"50812"
"Aufwind e. V.";"Abt. Jugend und Familie";"Leistungsvertrag";"2009";"Vierwaldstätter Weg 7; 13407 Berlin";"Bezirksamt Reinickendorf";"Schulstation";"76000"
"Bund Deutscher Pfadfinderinnen; Landesverband Berlin e. V.";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Kaubstr. 10; 10713 Berlin";"Bezirksamt Reinickendorf";"Jugendzentrum Luke";"99500"
"Bund Deutscher Pfadfinderinnen; Landesverband Berlin e. V.";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Kaubstr. 10; 10713 Berlin";"Bezirksamt Reinickendorf";"Abenteuerspielplatz MV";"152750"
"CVJM Berlin e. V.";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Einemstr. 10; 10787 Berlin";"Bezirksamt Reinickendorf";"Jugendhaus MV";"3100"
"Deutscher Pfadfinderbund";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Moorweg 106 a; 13509 Berlin";"Bezirksamt Reinickendorf";"Pfadfinderburg in Tegel";"2600"
"DRK Ortsverband Reinickendorf/ Märkisches Viertel e.V.";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Königshorster Str. 11; 13439 Berlin";"Bezirksamt Reinickendorf";"Zuschuss zur Weihnachtsfeier für sozial benachteiligte Kinder";"300"
"Elisabethstift Berlin";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Berliner Straße 118; 13467 Berlin";"Bezirksamt Reinickendorf";"Familientreff Wittenau";"4756"
"Förderverein der ; Hannah-Höch-Grundschule";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Finsterwalder Straße 56; 13435 Berlin";"Bezirksamt Reinickendorf";"Schülerclub";"15331"
"Frauen und Mütter im Berliner ; Norden e. V. - ""Flotte Lotte""";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Senftenberger Ring 25; 13435 Berlin";"Bezirksamt Reinickendorf";"Kommunikationszentrum";"53700"
"Gangway e. V.";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Schumannstr. 5; 10117 Berlin";"Bezirksamt Reinickendorf";"Spielangebot Bolzplatz";"4000"
"Gangway e. V.";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Schumannstr. 5; 10117 Berlin";"Bezirksamt Reinickendorf";"Streetworkteam";"48400"
"Gangway e. V.";"Abt. Jugend und Familie";"Anteilfinanzierung";"2009";"Schumannstr. 5; 10117 Berlin";"Bezirksamt Reinickendorf";"Streetworkteam Rdf.";"55000"
"Gesellschaft für Sport und Jugendsozialarbeit gGmbH";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Hanns-Braun-Str./ Friesenhaus II , 14053 Berlin";"Bezirksamt Reinickendorf";"Jungenarbeit im Centre Talma";"3000"
"Gesellschaft für Sport und Jugendsozialarbeit gGmbH";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Hanns-Braun-Str./ Friesenhaus II , 14053 Berlin";"Bezirksamt Reinickendorf";"Sporthaus Reinickendorf";"3600"
"Horizonte e. V.";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Amendestr. 30; 13409 Berlin";"Bezirksamt Reinickendorf";"Sehen-Verstehen-Handeln";"6160"
"Horizonte e. V.";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Amendestr. 30; 13409 Berlin";"Bezirksamt Reinickendorf";"Runder Tisch";"694"
"Horizonte e. V.";"Abt. Jugend und Familie";"Leistungsvertrag";"2009";"Amendestr. 30; 13409 Berlin";"Bezirksamt Reinickendorf";"Schulstation";"75994"
"Jugendfeuerwehr Lübars";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Alt-Lübars 12; 13469 Berlin";"Bezirksamt Reinickendorf";"Zuschuss zum Schulungslager der Berliner Jugendfeuerwehren";"300"
"Lebenswelt gGmbH";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Obentrautstr. 72; 10963 Berlin";"Bezirksamt Reinickendorf";"Elternberatung auf dem  Bolzplatz";"6442"
"Lebenswelt gGmbH";"Abt. Jugend und Familie";"Leistungsvertrag";"2009";"Obentrautstr. 72; 10963 Berlin";"Bezirksamt Reinickendorf";"Schulstation";"76000"
"Lebenswelt gGmbH";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Obentrautstr. 72; 10963 Berlin";"Bezirksamt Reinickendorf";"Jugendcafé Laiv";"130000"
"Naturfreundejugend Berlin";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Gryphiusstr. 23; 10245 Berlin";"Bezirksamt Reinickendorf";"Kinder- u. Jugendhalle MV";"171900"
"Tandem gBQ GmbH";"Abt. Jugend und Familie";"Leistungsvertrag";"2009";"Bülowstr. 90; 10783 Berlin";"Bezirksamt Reinickendorf";"Schulstation";"76000"
"Trapez e. V.";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Namslaustr. 45; 13507 Berlin";"Bezirksamt Reinickendorf";"Kinderschutz im Kiez";"23713"
"Verband für sozial-kulturelle Arbeit; Landesgruppe Berlin e. V.";"Abt. Jugend und Familie";"Festbetragsfinanzierung";"2009";"Tucholskystr. 11; 10117 Berlin";"Bezirksamt Reinickendorf";"Outreachteam";"23047"
"Verband für sozial-kulturelle Arbeit; Landesgruppe Berlin e. V.";"Abt. Jugend und Familie";"Anteilfinanzierung";"2009";"Tucholskystr. 11; 10117 Berlin";"Bezirksamt Reinickendorf";"Outreachteam Rdf";"27475"
"Erzbistum Berlin; Erzbischöfliches Ordinariat; Katholische Schulen";"Abt. Jugend, Familie, Schule und Sport";"Projektförderung";"2009";"Postfach 04 04 06; 10062 Berlin";"Bezirksamt Charlottenburg-Wilmersdorf";"Beschaffung von Lernmitteln für Schülerinnen und Schüler der Katholischen Grundschule-Herz-Jesu";"7683"
"Erzbistum Berlin; Erzbischöfliches Ordinariat; Katholische Schulen";"Abt. Jugend, Familie, Schule und Sport";"Projektförderung";"2009";"Postfach 04 04 06 ; 10062 Berlin";"Bezirksamt Charlottenburg-Wilmersdorf";"Beschaffung von Lernmitteln für Schülerinnen und Schüler der Katholischen Grundschule St. Ludwig";"9049"
"Erzbistum Berlin; Erzbischöfliches Ordinariat; Katholische Schulen";"Abt. Jugend, Familie, Schule und Sport";"Projektförderung";"2009";"Postfach 04 04 06 ; 10062 Berlin";"Bezirksamt Charlottenburg-Wilmersdorf";"Beschaffung von Lernmitteln für Schülerinnen und Schüler der Katholischen Schule Liebfrauen";"23781"
"Schulstiftung der Evangelischen Kirche Berlin Brandenburg, Geschäftsstelle";"Abt. Jugend, Familie, Schule und Sport";"Projektförderung";"2009";"Georgkirchstr. 69/70; 10249 Berlin";"Bezirksamt Charlottenburg-Wilmersdorf";"Beschaffung von Lernmitteln für Schülerinnen und Schüler der Evangelischen Schule Charlottenburg";"17054"
"Schulstiftung der Evangelischen Kirche Berlin Brandenburg, Geschäftsstelle";"Abt. Jugend, Familie, Schule und Sport";"Projektförderung";"2009";"Georgkirchstr. 69/70; 10249 Berlin";"Bezirksamt Charlottenburg-Wilmersdorf";"Beschaffung von Lernmitteln für Schülerinnen und Schüler des Evangelischen Gymnasiums zum Grauen Kloster";"23800"
"Jüdische Gemeinde zu Berlin; Körperschaft des öffentlichen Rechts; Geschäftsführung";"Abt. Jugend, Familie, Schule und Sport";"Projektförderung";"2009";"Oranienburger Str. 28 - 31; 10117 Berlin";"Bezirksamt Charlottenburg-Wilmersdorf";"Beschaffung von Lernmitteln für Schülerinnen und Schüler der Heinz-Galinski-Grundschule";"7723"
"Jüdische Gemeinde zu Berlin; Körperschaft des öffentlichen Rechts; Geschäftsführung";"Abt. Jugend, Familie, Schule und Sport";"Projektförderung";"2009";"Oranienburger Str. 28 - 31; 10117 Berlin";"Bezirksamt Charlottenburg-Wilmersdorf";"Subventionierung des Mittagessens für Schülerinnen und Schüler der Heinz-Galinski -Grundschule";"54060"
"Rudolf- Steiner-Schule im Märkischen Viertel e.V; Betriebsteil Johannes -Schule Berlin";"Abt. Jugend, Familie, Schule und Sport";"Projektförderung";"2009";"Treuenbrietzener Str.28; 13439 Berlin";"Bezirksamt Charlottenburg-Wilmersdorf";"Beschaffung von Lernmitteln für Schülerinnen und Schüler der Johannes-Schule ";"1923"
"Jüdische Traditionsschule ; Talmund Tora e.V.";"Abt. Jugend, Familie, Schule und Sport";"Projektförderung";"2009";" ";"Bezirksamt Charlottenburg-Wilmersdorf";"Beschaffung von Lernmitteln für Schülerinnen und Schüler der Jüdischen Traditionsschule";"1483"
"Moser Schule";"Abt. Jugend, Familie, Schule und Sport";"Projektförderung";"2009";"Badenallee 31/32; 14052 Berlin";"Bezirksamt Charlottenburg-Wilmersdorf";"Beschaffung von Lernmitteln für Schülerinnen und Schüler der Moser-Schule";"3360"
"DRK-Kliniken Berlin; Erziehung und Bildung GmbH";"Abt. Jugend, Familie, Schule und Sport";"Projektförderung";"2009";"Brabanter Str. 18-20; 10713 Berlin";"Bezirksamt Charlottenburg-Wilmersdorf";"Beschaffung von Lernmitteln für Schülerinnen und Schüler der Schule am Westend";"762"
"Amt für Jugendarbeit im evangelischen Kirchenkreis Charlottenburg";"Abt. Jugend, Familie, Schule und Sport";"Projektförderung";"2009";"Knobelsdorffstr. 72, 14059 Berlin";"Bezirksamt Charlottenburg-Wilmersdorf";"Wochendöffnung in der Jugendfreizeiteinrichtung Cafè Nightflight der Evangelischen Kirchengemeinde Charlottenburg-Nord";"16200"
"Blockinitiative 128 e.V.";"Abt. Jugend, Familie, Schule und Sport";"Projektförderung";"2009";"Sophie-Charlotten-Str. 84, 14059 Berlin";"Bezirksamt Charlottenburg-Wilmersdorf";"Betrieb des Ziegenhofes auf der Freifläche des Blocks 128 (Danckelmannstr. 16)";"1000"
"Deutsche Schreberjugend, LV Berlin e.V.";"Abt. Jugend, Familie, Schule und Sport";"Projektförderung";"2009";"Kirschenallee 25, 14050 Berlin";"Bezirksamt Charlottenburg-Wilmersdorf";"Betrieb und Betreuung des Abenteuerspielplatzes Sodener Str. 29, 14197 Berlin und des Jugendfreizeitheimes im Mosse-Stift";"113000"
"Hebel - Club e.V.";"Abt. Jugend, Familie, Schule und Sport";"Projektförderung";"2009";"Emser Str. 50, 10719 Berlin";"Bezirksamt Charlottenburg-Wilmersdorf";"Fortführung des Schülerclubs Hebel-Club e.V.; Förderung durch die Senatsverwaltung für Bildung, Wissenschaft und Forschung";"19173"
